"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"DEFA1",1.9476057675979,14.2227842222492,6.18798720597768,4.19544874158807e-06,1.82001749948431e-05,3.75174806791965
"HLA-DQA2",1.63902201816037,-13.4979965294517,4.82018317979646,9.61386460219785e-05,0.000285583739493727,0.582721829486029
"TYROBP",1.41267500033547,12.3593905334448,5.47569082500445,2.09407010166406e-05,7.46982220666014e-05,2.12040138466678
"S100A9",1.39839171778981,7.71190229068174,4.50377344318039,0.000202765670330657,0.000549548608307809,-0.165863031220652
"FGL2",1.27872301437428,2.66076048699095,6.61751745829958,1.63876148268362e-06,7.9492346769873e-06,4.70876282798004
"S100A12",1.25575061231443,9.01036290410928,5.18291201777348,4.11810435320471e-05,0.000135256333283251,1.43681752878796
"ERAP2",1.21867591952754,-33.6844834649455,5.96945910699416,6.82813158921076e-06,2.78741004563064e-05,3.25673023527219
"PMAIP1",1.19811535782009,-39.9382442294938,10.8367325394984,5.72279675210961e-10,1.03804724089966e-08,12.8445145419103
"HBB",1.18310786480971,-4.00564181915757,3.58182542621096,0.00179682949762484,0.00383567236982558,-2.32999248888815
"CD14",1.17869698086506,14.0238809870754,3.83628517926143,0.000986086723450869,0.00223977058895208,-1.73927959162261
"S100A8",1.16916787816498,3.64768789605985,3.95581099127006,0.000743076871073415,0.00174474558323545,-1.45940041345487
"HBA2",1.1640787618487,-5.60356216127397,4.32427477033167,0.000310178211119577,0.000801966923399415,-0.59068717355034
"CPVL",1.15363829650366,14.6009593343059,4.91914228771054,7.62140511251684e-05,0.000233006540786101,0.816335032855797
"CSTA",1.1530652681629,15.5754874322808,4.17402688013416,0.000442936240932873,0.00110333427375732,-0.945715691439307
"TRAC",1.11783568496111,-7.9372626449109,9.98129858654496,2.40520571738888e-09,3.40817832366863e-08,11.3769499072485
"MNDA",1.09741918511081,3.33835740215788,4.20822955711627,0.000408424173016341,0.00102594742244944,-0.864968162660312
